,name,sub,genre
0,BLACKPINK,5300만,[음악/댄스/가수]
1,Big Hit Labels,4660만,[음악/댄스/가수]
2,BANGTANTV,4010만,[음악/댄스/가수]
3,Boram Tube Vlog [보람튜브 브이로그],2650만,[음악/댄스/가수]
4,SMTOWN,2480만,[음악/댄스/가수]
5,1MILLION Dance Studio,2260만,[음악/댄스/가수]
6,1theK (원더케이),2120만,[음악/댄스/가수]
7,JYP Entertainment,1900만,[음악/댄스/가수]
8,America's Got Talent,1820만,[음악/댄스/가수]
9,ArianaGrandeVevo,1820만,[음악/댄스/가수]
10,JFlaMusic,1650만,[음악/댄스/가수]
11,Mnet K-POP,1580만,[음악/댄스/가수]
12,KBS World,1450만,[음악/댄스/가수]
13,officialpsy,1430만,[음악/댄스/가수]
14,Boram Tube ToysReview [보람튜브 토이리뷰],1380만,[음악/댄스/가수]
15,BIGBANG,1290만,[음악/댄스/가수]
16,CNN,1140만,[음악/댄스/가수]
17,Nao FunFun,1100만,[음악/댄스/가수]
18,Jane ASMR 제인,1040만,[음악/댄스/가수]
19,DuDuPopTOY,937만,[음악/댄스/가수]
20,Stone Music Entertainment,915만,[음악/댄스/가수]
21,TWICE,906만,[음악/댄스/가수]
22,MBCkpop,876만,[음악/댄스/가수]
23,Vogue,874만,[음악/댄스/가수]
24,핑크퐁 (인기 동요・동화),874만,[음악/댄스/가수]
25,Larva TUBA,845만,[음악/댄스/가수]
26,Toymong tv 토이몽TV,794만,[음악/댄스/가수]
27,서은이야기[SeoeunStory],787만,[음악/댄스/가수]
28,MBCentertainment,779만,[음악/댄스/가수]
29,Mnet Official,775만,[음악/댄스/가수]
30,iKON,744만,[음악/댄스/가수]
31,MariAndKids,686만,[음악/댄스/가수]
32,Boram Tube [宝蓝和朋友们],683만,[음악/댄스/가수]
33,SonicToy소닉토이,677만,[음악/댄스/가수]
34,Sungha Jung,650만,[음악/댄스/가수]
35,EXO,649만,[음악/댄스/가수]
36,M2,645만,[음악/댄스/가수]
37,Hongyu ASMR 홍유,640만,[음악/댄스/가수]
38,JTBC Entertainment,616만,[음악/댄스/가수]
39,ALL THE K-POP,598만,[음악/댄스/가수]
40,Travel Thirsty,584만,[음악/댄스/가수]
41,SEVENTEEN,581만,[음악/댄스/가수]
42,YG ENTERTAINMENT,579만,[음악/댄스/가수]
43,PONY Syndrome,576만,[음악/댄스/가수]
44,Serie A,566만,[음악/댄스/가수]
45,GOT7,545만,[음악/댄스/가수]
46,KBS Kpop,536만,[음악/댄스/가수]
47,콩순이・시크릿 쥬쥬 [Kongsuni・Secret Jouju],512만,[음악/댄스/가수]
48,DJKhaledVEVO,509만,[음악/댄스/가수]
49,ToyMart TV,502만,[음악/댄스/가수]
50,2NE1,494만,[음악/댄스/가수]
51,TOMORROW X TOGETHER OFFICIAL,485만,[음악/댄스/가수]
52,[Awesome Haeun]어썸하은,484만,[음악/댄스/가수]
53,Samsung,478만,[음악/댄스/가수]
54,스브스케이팝 / SBS KPOP,459만,[음악/댄스/가수]
55,문복희 Eat with Boki,452만,[음악/댄스/가수]
56,베이비버스 -인기 동요・동화,452만,[음악/댄스/가수]
57,SBS Entertainment,449만,[음악/댄스/가수]
58,starshipTV,440만,[음악/댄스/가수]
59,백종원의 요리비책 Paik's Cuisine,439만,[음악/댄스/가수]
60,SBS Drama,436만,[음악/댄스/가수]
61,스위트티비 SweetTV,431만,[음악/댄스/가수]
62,MAMAMOO,431만,[음악/댄스/가수]
63,쏘영 Ssoyoung,427만,[음악/댄스/가수]
64,이지금 [IU Official],420만,[음악/댄스/가수]
65,tvN DRAMA,419만,[음악/댄스/가수]
66,[장난감티비]TOYTV,417만,[음악/댄스/가수]
67,미니특공대TV,415만,[음악/댄스/가수]
68,[햄지]Hamzy,411만,[음악/댄스/가수]
69,떵개떵,408만,[음악/댄스/가수]
70,뽀로로(Pororo),404만,[음악/댄스/가수]
71,Stray Kids,403만,[음악/댄스/가수]
72,[Dorothy]도로시,400만,[음악/댄스/가수]
73,TOY GUMA,398만,[음악/댄스/가수]
74,Evan Kids,398만,[음악/댄스/가수]
75,영국남자 Korean Englishman,394만,[음악/댄스/가수]
76,KBS Entertain,393만,[음악/댄스/가수]
77,MBCdrama,392만,[음악/댄스/가수]
78,Raon Lee,388만,[음악/댄스/가수]
79,워크맨-Workman,381만,[음악/댄스/가수]
80,하루한끼 one meal a day,374만,[음악/댄스/가수]
81,크림히어로즈,374만,[음악/댄스/가수]
82,waveya 2011,372만,[음악/댄스/가수]
83,BT21,371만,[음악/댄스/가수]
84,허팝Heopop,371만,[음악/댄스/가수]
85,Jaeguchi,366만,[음악/댄스/가수]
86,ITZY,365만,[음악/댄스/가수]
87,SBS NOW / SBS 공식 채널,355만,[음악/댄스/가수]
88,슈슈토이 Shushu ToysReview,355만,[음악/댄스/가수]
89,JTBC Drama,351만,[음악/댄스/가수]
90,Milana FamilyShow,350만,[음악/댄스/가수]
91,Cooking tree 쿠킹트리,346만,[음악/댄스/가수]
92,Lime Tube[라임튜브],344만,[음악/댄스/가수]
93,SBS TV동물농장x애니멀봐,343만,[음악/댄스/가수]
94,로미유 스토리[Romiyu Story],342만,[음악/댄스/가수]
95,WINNER,335만,[음악/댄스/가수]
96,까니짱 [ G-NI ],334만,[음악/댄스/가수]
97,Red Velvet,331만,[음악/댄스/가수]
98,EBS 키즈,325만,[음악/댄스/가수]
99,Boram y Juguetes,323만,[음악/댄스/가수]
100,리원세상RIWORLD,317만,[키즈/어린이]
101,MariAndToys,306만,[키즈/어린이]
102,KBS Drama,304만,[키즈/어린이]
103,KARD,304만,[키즈/어린이]
104,BT Sport,303만,[키즈/어린이]
