,name,sub,genre
0,BLACKPINK,"53,100,000",음악/댄스
1,Big Hit Labels,"46,700,000",음악/댄스
2,BANGTANTV,"40,200,000",음악/댄스
3,Boram Tube Vlog [보람튜브 브이로그],"27,000,000",키즈
4,Baby Doli - ToyPudding,"25,500,000",취미
5,SMTOWN,"24,800,000",음악/댄스
6,1MILLION Dance Studio,"22,600,000",음악/댄스
7,1theK (원더케이),"21,200,000",음악/댄스
8,JYP Entertainment,"19,000,000",음악/댄스
9,JFlaMusic,"16,500,000",음악/댄스
10,Mnet K-POP,"15,800,000",음악/댄스
11,Jane ASMR 제인,"10,400,000",푸드/쿠킹
12,DuDuPopTOY,"9,380,000",취미
13,Stone Music Entertainment,"9,150,000",음악/댄스
14,TWICE,"9,090,000",음악/댄스
15,With Kids[위드키즈],"8,760,000",키즈
16,핑크퐁 (인기 동요・동화),"8,740,000",키즈
17,Larva TUBA,"8,460,000",키즈
18,Toymong tv 토이몽TV,"7,950,000",취미
19,서은이야기[SeoeunStory],"7,890,000",라이프스타일
20,Mnet Official,"7,760,000",음악/댄스
21,MariAndKids,"6,870,000",키즈
22,Boram Tube [宝蓝和朋友们],"6,840,000",키즈
23,SonicToy소닉토이,"6,780,000",키즈
24,Sungha Jung,"6,510,000",음악/댄스
25,EXO,"6,500,000",음악/댄스
26,M2,"6,460,000",엔터테인먼트
27,Hongyu ASMR 홍유,"6,430,000",푸드/쿠킹
28,ALL THE K-POP,"5,990,000",음악/댄스
29,SEVENTEEN,"5,820,000",음악/댄스
30,YG ENTERTAINMENT,"5,790,000",음악/댄스
31,PONY Syndrome,"5,760,000",뷰티/패션
32,PinkyPopTOY,"5,650,000",키즈
33,GOT7,"5,450,000",음악/댄스
34,TOMORROW X TOGETHER OFFICIAL,"5,360,000",엔터테인먼트
35,Claudipia,"5,350,000",라이프스타일
36,콩순이・시크릿 쥬쥬 [Kongsuni・Secret Jouju],"5,120,000",키즈
37,Maangchi,"5,110,000",인물/유명인
38,2NE1,"5,040,000",음악/댄스
39,Samsung,"5,030,000",IT/기술/과학
40,ToyMart TV,"5,020,000",취미
41,MAMAMOO,"4,930,000",음악/댄스
42,[Awesome Haeun]어썸하은,"4,930,000",음악/댄스
43,문복희 Eat with Boki,"4,700,000",푸드/쿠킹
44,[햄지]Hamzy,"4,670,000",푸드/쿠킹
45,백종원의 요리비책 Paik's Cuisine,"4,560,000",푸드/쿠킹
46,starshipTV,"4,520,000",음악/댄스
47,베이비버스 -인기 동요・동화,"4,520,000",키즈
48,GONGSAM TABLE 이공삼,"4,480,000",푸드/쿠킹
49,스위트티비 SweetTV,"4,330,000",키즈
50,떵개떵,"4,200,000",푸드/쿠킹
51,미니특공대TV,"4,160,000",영화/애니메이션
52,Coreano Vlogs,"4,150,000",라이프스타일
53,뽀로로(Pororo),"4,050,000",키즈
54,[Dorothy]도로시,"4,040,000",푸드/쿠킹
55,Evan Kids,"3,980,000",키즈
56,Raon Lee,"3,960,000",음악/댄스
57,영국남자 Korean Englishman,"3,940,000",인물/유명인
58,BT21,"3,900,000",영화/애니메이션
59,하루한끼 one meal a day,"3,900,000",푸드/쿠킹
60,Jaeguchi,"3,860,000",음악/댄스
61,크림히어로즈,"3,810,000",동물/펫
62,워크맨-Workman,"3,790,000",엔터테인먼트
63,허팝Heopop,"3,740,000",라이프스타일
64,waveya 2011,"3,720,000",엔터테인먼트
65,JTBC Drama,"3,650,000",엔터테인먼트
66,Cooking tree 쿠킹트리,"3,640,000",푸드/쿠킹
67,SBS TV동물농장x애니멀봐,"3,570,000",동물/펫
68,슈슈토이 Shushu ToysReview,"3,550,000",인물/유명인
69,까니짱 [ G-NI ],"3,530,000",푸드/쿠킹
70,Milana FamilyShow,"3,500,000",키즈
71,Red Velvet,"3,490,000",엔터테인먼트
72,WINNER,"3,460,000",음악/댄스
73,Lime Tube[라임튜브],"3,440,000",키즈
74,EBS 키즈,"3,250,000",키즈
75,피지컬갤러리,"3,190,000",교육/강의
76,리원세상RIWORLD,"3,170,000",엔터테인먼트
77,백현 Baekhyun,"3,130,000",인물/유명인
78,KARD,"3,110,000",음악/댄스
79,JaeYeol ASMR 재열,"3,110,000",취미
80,푸메Fume,"3,040,000",푸드/쿠킹
81,CoCosToy 꼬꼬스토이,"3,030,000",키즈
82,FRAN,"2,850,000",푸드/쿠킹
83,Jenn Im,"2,820,000",뷰티/패션
84,tzuyang쯔양,"2,800,000",푸드/쿠킹
85,사나고 Sanago,"2,790,000",취미
86,양수빈,"2,770,000",푸드/쿠킹
87,새송 Saesong,"2,760,000",음악/댄스
88,제이제이 튜브 [JJ Tube],"2,750,000",키즈
89,유디티TV,"2,690,000",푸드/쿠킹
90,imlisarhee,"2,690,000",음악/댄스
91,장삐쭈,"2,670,000",엔터테인먼트
92,딩고 뮤직 / dingo music,"2,650,000",엔터테인먼트
93,한세HANSE,"2,590,000",푸드/쿠킹
94,Andrew Foy 앤디,"2,590,000",음악/댄스
95,Thankyou BUBU,"2,580,000",라이프스타일
96,PLAYLIST ORIGINALS 플레이리스트 오리지널,"2,550,000",엔터테인먼트
97,ToyFamily,"2,510,000",키즈
98,도티 TV,"2,480,000",게임
99,헤이지니 Hey Jini,"2,450,000",키즈
100,나도Nado,"2,410,000",푸드/쿠킹
101,창현거리노래방,"2,380,000",음악/댄스
102,ASMR PPOMO,"2,340,000",취미
103,와썹맨-Wassup Man,"2,320,000",인물/유명인
104,팬케이Pan K The Pancake Artist,"2,310,000",취미
105,밴쯔,"2,300,000",푸드/쿠킹
106,총몇명,"2,290,000",영화/애니메이션
107,SunnydahyeIn,"2,290,000",라이프스타일
108,RISABAE,"2,270,000",뷰티/패션
109,5 분 Tricks,"2,260,000",푸드/쿠킹
110,VIVA DANCE STUDIO,"2,250,000",음악/댄스
111,보라미 TV Borami TV,"2,240,000",키즈
112,야미보이 Yummyboy,"2,220,000",푸드/쿠킹
113,꿀키honeykki,"2,160,000",푸드/쿠킹
114,JOLLY,"2,150,000",엔터테인먼트
115,MariAndFriends,"2,150,000",키즈
116,공대생 변승주 DS,"2,120,000",엔터테인먼트
117,흔한남매,"2,080,000",엔터테인먼트
118,퇴경아 약먹자,"2,030,000",엔터테인먼트
119,캐리TV,"2,020,000",키즈
120,자이언트 펭TV,"2,020,000",엔터테인먼트
121,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,990,000",게임
